Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Male,45-54 years,10,50,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Male,50-64 years,39,172,29,26,0,42,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Male,55-64 years,31,141,24,22,0,33,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Male,65-74 years,39,161,30,26,0,43,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Male,75-84 years,32,112,29,21,0,40,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Male,85 years and over,23,103,16,10,0,29,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,All Ages,120,551,94,77,0,137,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,0-17 years,0,14,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,18-29 years,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,25-34 years,,13,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,30-39 years,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,35-44 years,0,12,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,40-49 years,,21,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,45-54 years,,26,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,50-64 years,25,102,16,12,0,29,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,55-64 years,21,87,15,12,0,24,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,65-74 years,35,129,28,26,0,37,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,75-84 years,30,129,22,19,0,33,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,District of Columbia,Female,85 years and over,27,139,21,17,0,31,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,All Ages,8223,47158,7719,5557,15,10397,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,Under 1 year,0,168,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,0-17 years,,294,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,1-4 years,,29,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,5-14 years,,50,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,15-24 years,,352,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,18-29 years,23,712,24,14,0,33,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,25-34 years,39,893,31,22,0,48,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,30-39 years,57,1085,54,36,0,75,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,35-44 years,99,1223,97,64,0,132,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,40-49 years,172,1462,152,114,0,210,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,45-54 years,285,2183,265,189,,363,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,50-64 years,1045,6800,982,715,,1317,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,55-64 years,867,5455,809,599,,1080,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,65-74 years,1840,9411,1741,1293,,2289,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,75-84 years,2688,12674,2548,1849,,3391,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,All Sexes,85 years and over,2396,14720,2217,1536,,3079,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,All Ages,4694,25525,4467,3259,,5906,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,Under 1 year,0,88,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,0-17 years,0,165,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,1-4 years,0,13,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,5-14 years,0,32,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,15-24 years,,237,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,18-29 years,12,502,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,25-34 years,26,635,20,17,0,29,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,30-39 years,33,729,37,24,0,46,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,35-44 years,63,784,59,41,0,81,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,40-49 years,109,907,94,75,0,128,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,45-54 years,164,1355,165,116,,215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,50-64 years,620,4179,573,419,,777,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,55-64 years,520,3338,467,350,,638,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,65-74 years,1131,5651,1075,815,,1391,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,75-84 years,1607,7055,1508,1112,,2004,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Male,85 years and over,1182,6337,1171,808,0,1545,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,All Ages,3529,21633,3252,2298,,4491,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,Under 1 year,0,80,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,0-17 years,,129,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,1-4 years,,16,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,5-14 years,,18,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,15-24 years,,115,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,18-29 years,11,210,15,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,25-34 years,13,258,11,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,30-39 years,24,356,17,12,0,29,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,35-44 years,36,439,38,23,0,51,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,40-49 years,63,555,58,39,0,82,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,45-54 years,121,828,100,73,0,148,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,50-64 years,425,2621,409,296,,540,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,55-64 years,347,2117,342,249,,442,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,65-74 years,709,3760,666,478,,898,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,75-84 years,1081,5619,1040,737,,1387,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Florida,Female,85 years and over,1214,8383,1046,728,,1534,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,All Ages,5246,19574,3689,3025,,5915,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,Under 1 year,0,48,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,0-17 years,,115,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,1-4 years,0,15,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,5-14 years,,26,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,15-24 years,,127,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,18-29 years,14,222,10,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,25-34 years,28,276,18,14,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,30-39 years,49,373,34,29,0,54,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,35-44 years,74,513,58,43,0,89,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,40-49 years,116,720,85,62,0,139,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,45-54 years,270,1136,176,145,0,301,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,50-64 years,944,3472,680,566,,1060,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,55-64 years,748,2761,554,459,,845,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,65-74 years,1317,4559,955,795,,1480,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,75-84 years,1622,5288,1163,956,0,1829,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,All Sexes,85 years and over,1182,4825,761,612,,1331,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,All Ages,2876,10192,2038,1675,,3241,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,Under 1 year,0,30,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,0-17 years,,69,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,5-14 years,0,13,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,15-24 years,,91,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,18-29 years,,158,,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,25-34 years,16,184,10,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,30-39 years,30,227,19,16,0,33,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,35-44 years,47,309,32,25,0,54,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,40-49 years,68,434,48,36,0,80,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,45-54 years,165,685,104,84,0,185,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,50-64 years,566,2087,391,329,,629,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,55-64 years,443,1656,316,267,,493,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,65-74 years,772,2672,559,462,,870,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,75-84 years,900,2730,665,538,0,1027,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Male,85 years and over,530,1815,349,292,0,587,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,All Ages,2370,9382,1651,1350,,2674,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,Under 1 year,0,18,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,0-17 years,,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,1-4 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,5-14 years,,13,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,15-24 years,,36,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,18-29 years,,64,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,25-34 years,12,92,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,30-39 years,19,146,15,13,0,21,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,35-44 years,27,204,26,18,0,35,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,40-49 years,48,286,37,26,0,59,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,45-54 years,105,451,72,61,0,116,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,50-64 years,378,1385,289,237,,431,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,55-64 years,305,1105,238,192,,352,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,65-74 years,545,1887,396,333,,610,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,75-84 years,722,2558,498,418,0,802,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Georgia,Female,85 years and over,652,3010,412,320,,744,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,All Ages,61,2066,135,38,0,158,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,Under 1 year,0,16,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,0-17 years,0,18,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,5-14 years,0,0,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,15-24 years,0,11,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,18-29 years,,25,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,25-34 years,,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,30-39 years,,50,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,35-44 years,,54,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,40-49 years,,57,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,45-54 years,,96,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,50-64 years,,338,21,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,55-64 years,,273,15,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,65-74 years,16,402,32,11,0,37,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,75-84 years,10,424,31,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,All Sexes,85 years and over,24,752,47,12,0,59,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,All Ages,32,1093,77,24,0,85,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,Under 1 year,0,12,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,0-17 years,0,13,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,1-4 years,0,0,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,5-14 years,0,0,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,15-24 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,18-29 years,,17,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,25-34 years,,26,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,30-39 years,0,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,35-44 years,0,37,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,40-49 years,0,36,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,45-54 years,,58,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,50-64 years,,211,12,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,55-64 years,,174,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,65-74 years,12,245,21,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,75-84 years,,247,21,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Male,85 years and over,,286,22,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,All Ages,29,973,58,14,0,73,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,5-14 years,0,0,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,18-29 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,25-34 years,0,11,0,0,0,0,
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,30-39 years,,12,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,35-44 years,,17,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,40-49 years,,21,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,45-54 years,0,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,50-64 years,,127,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2021,03/13/2021,By Year,2021,,Hawaii,Female,55-64 years,,99,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
